,Item,year,amount
0,Lift,2024,1442784000.0
1,Ski school,2024,304548000.0
2,Dining,2024,227572000.0
3,Retail/rental,2024,317196000.0
4,Other,2024,252270000.0
5,Total Mountain net revenue,2024,2544370000.0
6,Lift,2023,1420900000.0
7,Ski school,2023,287275000.0
8,Dining,2023,224642000.0
9,Retail/rental,2023,361484000.0
10,Other,2023,246605000.0
11,Total Mountain net revenue,2023,2540906000.0
12,Lift,2022,1310213000.0
13,Ski school,2022,223645000.0
14,Dining,2022,163705000.0
15,Retail/rental,2022,311768000.0
16,Other,2022,203783000.0
17,Total Mountain net revenue,2022,2213114000.0
30,Lift,2021,1076578000.0
31,Ski school,2021,144227000.0
32,Dining,2021,92186000.0
33,Retail/rental,2021,227993000.0
34,Other,2021,161814000.0
35,Total Mountain net revenue,2021,1702798000.0
48,Lift,2020,913091000.0
49,Ski school,2020,189131000.0
50,Dining,2020,167551000.0
51,Retail/rental,2020,270299000.0
52,Other,2020,186548000.0
53,Total Mountain net revenue,2020,1726620000.0
56,Dining,2021,90329000.0
58,Other,2021,150751000.0
59,Total Mountain net revenue,2021,1689878000.0
62,Dining,2020,160763000.0
64,Other,2020,177159000.0
65,Total Mountain net revenue,2020,1710443000.0
66,Lift,2019,1033234000.0
67,Ski school,2019,215060000.0
68,Dining,2019,181837000.0
69,Retail/rental,2019,320267000.0
70,Other,2019,205803000.0
71,Total Mountain net revenue,2019,1956201000.0
84,Lift,2018,880293000.0
85,Ski school,2018,189910000.0
86,Dining,2018,161402000.0
87,Retail/rental,2018,296466000.0
88,Other,2018,194851000.0
89,Total Mountain net revenue,2018,1722922000.0
102,Lift,2017,818341000.0
103,Ski school,2017,177748000.0
104,Dining,2017,150587000.0
105,Retail/rental,2017,293428000.0
106,Other,2017,171682000.0
107,Total Mountain net revenue,2017,1611786000.0
120,Lift,2016,658047000.0
121,Ski school,2016,143249000.0
122,Dining,2016,121008000.0
123,Retail/rental,2016,241134000.0
124,Other,2016,141166000.0
125,Total Mountain net revenue,2016,1304604000.0
138,Lift,2015,536458000.0
139,Ski school,2015,126206000.0
140,Dining,2015,101010000.0
141,Retail/rental,2015,219153000.0
142,Other,2015,121202000.0
143,Total Mountain net revenue,2015,1104029000.0
156,Lift,2014,447271000.0
157,Ski school,2014,109442000.0
158,Dining,2014,89892000.0
159,Retail/rental,2014,210387000.0
160,Other,2014,106581000.0
161,Total Mountain net revenue,2014,963573000.0
174,Lift,2013,390820000.0
175,Ski school,2013,95254000.0
176,Dining,2013,81175000.0
177,Retail/rental,2013,199418000.0
178,Other,2013,100847000.0
179,Total Mountain net revenue,2013,867514000.0
192,Lift,2012,342500000.0
193,Ski school,2012,84292000.0
194,Dining,2012,68376000.0
195,Retail/rental,2012,181772000.0
196,Other,2012,89668000.0
197,Total Mountain net revenue,2012,766608000.0
